variety,subject,level,true_answer,predicted_answer,is_correct,raw_model_output,question,option_A,option_B,option_C,option_D,source_dataset
EGY_DIALECT,Geography,High,D,A,False,A,مجموعة الإجراءات اللي بتقدر الحمولة البيئية، وبتحدد أسلوب الاستخدام المناسب في مشاريع التنمية، وتأثيرها على البيئة، دة اسمه:,التخطيط البيئي,الحمولة البيئية,التربية البيئية,التقييم البيئي,QCRI/AraDICE-ArabicMMLU-egy
EGY_DIALECT,Civics,Middle,D,A,False,A,أنهي واحده من مصايف الاردن:,العقبه.,البحر الميت.,المفرق.,دبين.,QCRI/AraDICE-ArabicMMLU-egy
EGY_DIALECT,Driving Test,,A,D,False,D,رخصة السواقة من الدرجة الأولى (1) هي:,رخصة سواقة لكل أنواع الموتوسيكلات.,رخصة سواقة لسواقة مركبة أشغال.,رخصة سواقة لسواقة مركبة زراعية.,ولا حاجة من اللي اتقال.,QCRI/AraDICE-ArabicMMLU-egy
EGY_DIALECT,Arabic Language,High,B,B,True,B,جمله واحده بس فيها اسم فعل أمر بمعنى الزم,عليك السلام ورحمة الله وبركاته.,عليك مزاكرتك.,عليك دين يجب أن تسدده.,عليك الدور في الإجابه.,QCRI/AraDICE-ArabicMMLU-egy
EGY_DIALECT,Civics,Middle,D,B,False,B, نشط حيل التخريب في الاردن بين (1957-1946‏ م )وزاد النشاط الحزب:,الوطني.,القومي.,الديني.,الفكرى.,QCRI/AraDICE-ArabicMMLU-egy
EGY_DIALECT,History,High,D,B,False,B,"الورقة الحوارية لجلالة الملك عبدالله التاني بعنوان "" تعميق التحول الديموقراطى : أهداف ومنجزات",الأولى,التانية,الرابعة,الخامسة,QCRI/AraDICE-ArabicMMLU-egy
EGY_DIALECT,History,Middle,A,B,False,B,مدة عضوية المجلس التشريعي:,ثلاث سنين,أربع سنين,خمس سنين,,QCRI/AraDICE-ArabicMMLU-egy
EGY_DIALECT,Physics,High,A,C,False,C,قذيفة ساكنة وزنها 16 كغم انفجرت لجزئين، فلو كانت كتلة الجزء الأول 12 كغم، وبيتحرك بسرعة ٤ م/ ث، يبقى مقدار طاقة حركة الجزء التاني بوحدة الجول:,288,96,192,144,QCRI/AraDICE-ArabicMMLU-egy
EGY_DIALECT,Arabic Language (Grammar),,D,A,False,A,هجاء الكلمة اللي بين القوسين غلط.  إيه من الخيارات اللي جايه يعتبر هجاء صح؟ في الملعب (مائات) المشاهدين.,ماآت,مآات,ماءات,مئات,QCRI/AraDICE-ArabicMMLU-egy
EGY_DIALECT,Civics,Middle,D,A,False,A,الثوابت اللي طلعت منها الاردن بمشاركته في قوات حفظ السلام الدولي ما عدا,الموقف الدولي اللي بيستمتع  بيه,دور إنساني نبيل للجيش العربي,السمعة الطيبة اللى بتتمتع بها القوات المسلحة من ناحية التدريب والالتزام,أهداف سياسية,QCRI/AraDICE-ArabicMMLU-egy
